step	accuracy
1603	0.9375
1604	0.90625
1605	0.6875
1606	0.96875
1607	0.90625
1608	0.9375
1609	1.0
1610	1.0
1611	0.96875
1612	1.0
1613	1.0
1614	1.0
1615	1.0
1616	0.84375
1617	0.96875
1618	0.96875
1619	0.9375
1620	0.96875
1621	0.9375
1622	0.96875
1623	0.875
1624	0.96875
1625	1.0
1626	0.96875
1627	0.9375
1628	1.0
1629	0.96875
1630	1.0
1631	0.96875
1632	0.90625
1633	0.96875
1634	0.9375
1635	0.9375
1636	0.90625
1637	0.96875
1638	0.96875
1639	1.0
1640	0.90625
1641	0.96875
1642	0.875
1643	0.90625
1644	0.96875
1645	0.90625
1646	0.96875
1647	0.875
1648	0.96875
1649	1.0
1650	0.96875
1651	0.96875
1652	0.96875
1653	1.0
1654	0.9375
1655	0.8666667342185974
1656	0.90625
1657	0.84375
1658	0.96875
1659	0.96875
1660	1.0
1661	0.90625
1662	1.0
1663	1.0
1664	1.0
1665	0.96875
1666	0.96875
1667	1.0
1668	0.8125
1669	0.9375
1670	0.9375
1671	0.9375
1672	0.96875
1673	0.90625
1674	0.90625
1675	0.9375
1676	0.9375
1677	0.90625
1678	0.875
1679	0.9375
1680	0.96875
1681	0.96875
1682	1.0
1683	0.875
1684	0.90625
1685	0.96875
1686	0.96875
1687	1.0
1688	0.875
1689	1.0
1690	0.84375
1691	1.0
1692	0.96875
1693	1.0
1694	0.96875
1695	0.96875
1696	0.84375
1697	0.96875
1698	0.96875
1699	0.96875
1700	0.875
1701	0.84375
1702	0.9375
1703	0.9375
1704	0.9375
1705	0.90625
1706	1.0
1707	0.8125
1708	0.96875
1709	0.9375
1710	0.875
1711	0.875
1712	0.96875
1713	1.0
1714	0.875
1715	1.0
1716	0.84375
1717	0.8125
1718	0.96875
1719	0.96875
1720	0.84375
1721	0.90625
1722	0.90625
1723	0.875
1724	0.90625
1725	0.96875
1726	0.9375
1727	1.0
1728	0.9375
1729	0.8125
1730	0.90625
1731	0.84375
1732	0.9375
1733	1.0
1734	1.0
1735	0.96875
1736	0.875
1737	0.96875
1738	1.0
1739	0.96875
1740	1.0
1741	0.90625
1742	1.0
1743	0.90625
1744	0.84375
1745	0.90625
1746	0.875
1747	0.90625
1748	1.0
1749	0.96875
1750	0.9375
1751	0.9375
1752	0.9375
1753	1.0
1754	0.75
1755	0.90625
1756	0.90625
1757	0.9375
1758	0.96875
1759	1.0
1760	0.9375
1761	1.0
1762	0.90625
1763	0.90625
1764	0.9375
1765	0.96875
1766	0.9375
1767	1.0
1768	0.9375
1769	0.96875
1770	0.96875
1771	1.0
1772	0.9375
1773	0.90625
1774	1.0
1775	0.9375
1776	0.8125
1777	0.96875
1778	0.9375
1779	0.96875
1780	1.0
1781	1.0
1782	1.0
1783	1.0
1784	1.0
1785	0.96875
1786	1.0
1787	0.9375
1788	0.96875
1789	0.96875
1790	0.875
1791	0.96875
1792	0.96875
1793	1.0
1794	0.96875
1795	0.84375
1796	0.9375
1797	0.96875
1798	0.9375
1799	0.9333333969116211
1800	0.90625
1801	0.9375
1802	0.9375
1803	0.90625
1804	0.875
1805	0.875
1806	0.9375
1807	1.0
1808	1.0
1809	1.0
1810	0.90625
1811	0.96875
1812	0.96875
1813	1.0
1814	0.875
1815	0.96875
1816	0.9375
1817	0.9375
1818	0.96875
1819	0.96875
1820	0.84375
1821	0.90625
1822	0.84375
1823	0.9375
1824	0.9375
1825	1.0
1826	0.9375
1827	1.0
1828	0.9375
1829	0.96875
1830	1.0
1831	0.875
1832	1.0
1833	1.0
1834	0.96875
1835	1.0
1836	0.90625
1837	0.84375
1838	0.9375
1839	1.0
1840	0.90625
1841	0.9375
1842	0.875
1843	1.0
1844	0.96875
1845	1.0
1846	0.90625
1847	0.90625
1848	0.96875
1849	1.0
1850	0.96875
1851	0.90625
1852	1.0
1853	1.0
1854	1.0
1855	0.9375
1856	0.9375
1857	0.9375
1858	0.9375
1859	0.96875
1860	0.90625
1861	0.96875
1862	0.96875
1863	0.9375
1864	0.90625
1865	0.96875
1866	0.96875
1867	1.0
1868	1.0
